PT,category,SOC,PT_total,REMIFENTANIL_a,REMIFENTANIL_ROR,REMIFENTANIL_ROR_CI,REMIFENTANIL_PRR,REMIFENTANIL_IC025,REMIFENTANIL_EBGM,REMIFENTANIL_signal,FENTANYL_a,FENTANYL_ROR,FENTANYL_ROR_CI,FENTANYL_PRR,FENTANYL_IC025,FENTANYL_EBGM,FENTANYL_signal,SUFENTANIL_a,SUFENTANIL_ROR,SUFENTANIL_ROR_CI,SUFENTANIL_PRR,SUFENTANIL_IC025,SUFENTANIL_EBGM,SUFENTANIL_signal,MORPHINE_a,MORPHINE_ROR,MORPHINE_ROR_CI,MORPHINE_PRR,MORPHINE_IC025,MORPHINE_EBGM,MORPHINE_signal,RORR_REMI_vs_FENTANYL,RORR_CI_FENTANYL,RORR_REMI_vs_SUFENTANIL,RORR_CI_SUFENTANIL,RORR_REMI_vs_MORPHINE,RORR_CI_MORPHINE
HYPERALGESIA,OIH-narrow,Nervous system,0,0,,,,,,False,0,,,,,,False,0,,,,,,False,0,,,,,,False,,,,,,
ALLODYNIA,OIH-narrow,Nervous system,1110,1,3.471,0.49-24.67,3.471,-1.035,5.34,False,48,7.635,5.72-10.20,7.632,2.46,7.428,True,0,,,,,,False,30,10.15,7.06-14.59,10.145,2.784,10.076,True,0.455,0.06-3.30,,,0.342,0.05-2.51
PAIN,OIH-wide,General,607176,23,0.142,0.09-0.21,0.146,-3.369,0.149,False,7349,2.138,2.09-2.19,2.069,1.006,2.056,True,98,0.505,0.41-0.62,0.513,-1.251,0.516,False,4794,3.083,2.99-3.18,2.907,1.489,2.892,True,0.066,0.04-0.10,0.281,0.18-0.44,0.046,0.03-0.07
PAIN INCREASED,OIH-wide,General,0,0,,,,,,False,0,,,,,,False,0,,,,,,False,0,,,,,,False,,,,,,
DRUG INEFFECTIVE,OIH-wide,General,1299278,208,0.601,0.52-0.69,0.616,-0.898,0.618,False,8062,1.058,1.03-1.08,1.054,0.043,1.054,True,318,0.766,0.68-0.86,0.778,-0.525,0.779,False,4450,1.277,1.24-1.32,1.255,0.283,1.255,True,0.568,0.49-0.65,0.784,0.66-0.94,0.47,0.41-0.54
OPIOID WITHDRAWAL SYNDROME,OIH-wide,Psychiatric,0,0,,,,,,False,0,,,,,,False,0,,,,,,False,0,,,,,,False,,,,,,
DRUG TOLERANCE,OIH-wide,General,5013,0,,,,,,False,278,9.935,8.80-11.21,9.914,3.061,9.438,True,0,,,,,,False,79,5.855,4.69-7.31,5.848,2.208,5.811,True,,,,,,
POSTOPERATIVE PAIN,OIH-wide,General,0,0,,,,,,False,0,,,,,,False,0,,,,,,False,0,,,,,,False,,,,,,
CHRONIC PAIN,OIH-wide,General,0,0,,,,,,False,0,,,,,,False,0,,,,,,False,0,,,,,,False,,,,,,
NAUSEA,negative-control,Gastrointestinal,778546,51,0.245,0.19-0.32,0.252,-2.385,0.255,False,4928,1.079,1.05-1.11,1.076,0.063,1.075,True,109,0.435,0.36-0.53,0.445,-1.442,0.447,False,4527,2.235,2.17-2.30,2.136,1.047,2.13,True,0.227,0.17-0.30,0.563,0.40-0.79,0.11,0.08-0.14
VOMITING,negative-control,Gastrointestinal,462663,64,0.527,0.41-0.67,0.532,-1.265,0.537,False,3483,1.289,1.25-1.33,1.281,0.306,1.279,True,80,0.544,0.44-0.68,0.549,-1.182,0.553,False,3432,2.841,2.74-2.94,2.73,1.392,2.717,True,0.409,0.32-0.52,0.969,0.70-1.35,0.185,0.14-0.24
PRURITUS,negative-control,Skin,372941,41,0.419,0.31-0.57,0.423,-1.684,0.429,False,1117,0.503,0.47-0.53,0.507,-1.06,0.509,False,38,0.32,0.23-0.44,0.324,-2.087,0.328,False,1291,1.275,1.21-1.35,1.269,0.263,1.268,True,0.833,0.61-1.14,1.31,0.84-2.04,0.328,0.24-0.45
CONSTIPATION,negative-control,Gastrointestinal,213536,11,0.197,0.11-0.36,0.198,-3.188,0.208,False,2011,1.616,1.55-1.69,1.605,0.614,1.6,True,63,0.937,0.73-1.20,0.937,-0.451,0.945,False,1786,3.148,3.00-3.30,3.081,1.547,3.064,True,0.122,0.07-0.22,0.21,0.11-0.40,0.062,0.03-0.11
HYPERAESTHESIA,dictionary-proxy,Nervous system,8161,10,4.729,2.54-8.80,4.722,1.342,4.972,True,315,6.795,6.07-7.61,6.78,2.55,6.568,True,22,8.611,5.66-13.09,8.585,2.494,8.775,True,262,12.166,10.75-13.76,12.114,3.378,11.782,True,0.696,0.37-1.31,0.549,0.26-1.16,0.389,0.21-0.73
HYPERPATHIA,dictionary-proxy,Nervous system,43,0,,,,,,False,2,8.237,1.99-34.06,8.237,0.937,10.032,True,1,75.634,10.41-549.63,75.622,3.347,113.713,True,0,,,,,,False,,,,,,
PROCEDURAL PAIN,dictionary-proxy,General,27300,14,1.977,1.17-3.34,1.975,0.224,2.05,True,162,1.008,0.86-1.18,1.008,-0.211,1.011,False,8,0.931,0.47-1.86,0.931,-1.104,0.994,False,167,2.252,1.93-2.62,2.248,0.944,2.248,True,1.962,1.14-3.39,2.124,0.89-5.07,0.878,0.51-1.52
CHRONIC PAIN SYNDROME,dictionary-proxy,General,1,0,,,,,,False,0,,,,,,False,0,,,,,,False,0,,,,,,False,,,,,,
DRUG WITHDRAWAL SYNDROME,dictionary-proxy,Psychiatric,87541,7,0.307,0.15-0.64,0.308,-2.769,0.332,False,3274,6.714,6.48-6.96,6.561,2.616,6.354,True,42,1.528,1.13-2.07,1.525,0.17,1.544,True,865,3.686,3.45-3.94,3.645,1.758,3.621,True,0.046,0.02-0.10,0.201,0.09-0.45,0.083,0.04-0.18
