## C1 Route-stratified disproportionality (openFDA aggregate)
N_total_reports,20692687

Drug,Total(drug),RouteCode,RouteName,Count,PctOfDrug,KnownRouteCoverage%
REMI,5375,042,"IV-NOS(静脉,未特指)",3185,59.26,184.3
REMI,5375,065,Unknown(未知/未指定),2764,51.42,184.3
REMI,5375,048,Oral(口服),1134,21.1,184.3
REMI,5375,055,Resp-inhalation(吸入),846,15.74,184.3
REMI,5375,041,IV-drip(静脉点滴),456,8.48,184.3
REMI,5375,058,Subcutaneous(皮下),376,7.0,184.3
REMI,5375,040,IV-bolus(静脉推注),294,5.47,184.3
REMI,5375,050,Other(其他),183,3.4,184.3
REMI,5375,030,Intramuscular(肌注),159,2.96,184.3
REMI,5375,061,Topical(局部),153,2.85,184.3
REMI,5375,064,Transplacental(经胎盘),153,2.85,184.3
REMI,5375,054,Rectal(直肠),75,1.4,184.3
REMI,5375,045,Nasal(鼻用),54,1.0,184.3
REMI,5375,062,Transdermal(透皮),39,0.73,184.3
REMI,5375,047,Ophthalmic(眼用),26,0.48,184.3
REMI,5375,060,Unspecified(未特指),8,0.15,184.3
REMI,5375,066,Urethral(尿道),2,0.04,184.3

FEN,121819,065,Unknown(未知/未指定),72260,59.32,146.9
FEN,121819,048,Oral(口服),37183,30.52,146.9
FEN,121819,062,Transdermal(透皮),26257,21.55,146.9
FEN,121819,042,"IV-NOS(静脉,未特指)",16532,13.57,146.9
FEN,121819,058,Subcutaneous(皮下),7453,6.12,146.9
FEN,121819,061,Topical(局部),3227,2.65,146.9
FEN,121819,055,Resp-inhalation(吸入),2943,2.42,146.9
FEN,121819,041,IV-drip(静脉点滴),2939,2.41,146.9
FEN,121819,060,Unspecified(未特指),2077,1.7,146.9
FEN,121819,030,Intramuscular(肌注),1741,1.43,146.9
FEN,121819,064,Transplacental(经胎盘),1454,1.19,146.9
FEN,121819,050,Other(其他),1312,1.08,146.9
FEN,121819,045,Nasal(鼻用),1186,0.97,146.9
FEN,121819,040,IV-bolus(静脉推注),1159,0.95,146.9
FEN,121819,054,Rectal(直肠),621,0.51,146.9
FEN,121819,047,Ophthalmic(眼用),597,0.49,146.9
FEN,121819,066,Urethral(尿道),21,0.02,146.9

SUF,6513,042,"IV-NOS(静脉,未特指)",4145,63.64,168.2
SUF,6513,065,Unknown(未知/未指定),2518,38.66,168.2
SUF,6513,048,Oral(口服),1529,23.48,168.2
SUF,6513,058,Subcutaneous(皮下),674,10.35,168.2
SUF,6513,055,Resp-inhalation(吸入),574,8.81,168.2
SUF,6513,041,IV-drip(静脉点滴),507,7.78,168.2
SUF,6513,040,IV-bolus(静脉推注),309,4.74,168.2
SUF,6513,064,Transplacental(经胎盘),130,2.0,168.2
SUF,6513,061,Topical(局部),127,1.95,168.2
SUF,6513,030,Intramuscular(肌注),110,1.69,168.2
SUF,6513,050,Other(其他),105,1.61,168.2
SUF,6513,060,Unspecified(未特指),66,1.01,168.2
SUF,6513,062,Transdermal(透皮),57,0.88,168.2
SUF,6513,045,Nasal(鼻用),44,0.68,168.2
SUF,6513,054,Rectal(直肠),38,0.58,168.2
SUF,6513,047,Ophthalmic(眼用),23,0.35,168.2
SUF,6513,066,Urethral(尿道),2,0.03,168.2

MOR,56501,065,Unknown(未知/未指定),31374,55.53,172.4
MOR,56501,048,Oral(口服),27752,49.12,172.4
MOR,56501,042,"IV-NOS(静脉,未特指)",14338,25.38,172.4
MOR,56501,058,Subcutaneous(皮下),8601,15.22,172.4
MOR,56501,061,Topical(局部),2446,4.33,172.4
MOR,56501,041,IV-drip(静脉点滴),2230,3.95,172.4
MOR,56501,030,Intramuscular(肌注),1954,3.46,172.4
MOR,56501,062,Transdermal(透皮),1869,3.31,172.4
MOR,56501,055,Resp-inhalation(吸入),1587,2.81,172.4
MOR,56501,050,Other(其他),983,1.74,172.4
MOR,56501,040,IV-bolus(静脉推注),918,1.62,172.4
MOR,56501,047,Ophthalmic(眼用),738,1.31,172.4
MOR,56501,045,Nasal(鼻用),733,1.3,172.4
MOR,56501,064,Transplacental(经胎盘),673,1.19,172.4
MOR,56501,060,Unspecified(未特指),658,1.16,172.4
MOR,56501,054,Rectal(直肠),462,0.82,172.4
MOR,56501,066,Urethral(尿道),115,0.2,172.4

PT,FEN_transdermal_ROR,FEN_IV_ROR,REMI_IV_IVcodes_ROR,REMI_IV_ROR,MOR_IV_ROR,MOR_oral_ROR,FEN_transdermal_a,FEN_IV_a,REMI_IV_IVcodes_a,REMI_IV_a,MOR_IV_a,MOR_oral_a
PAIN,3.382,1.669,0.118,0.129,3.416,3.648,2429,990,14,26,1634,2748
ALLODYNIA,12.982,13.736,NA,2.785,7.506,10.896,18,15,0,1,7,16
NAUSEA,1.523,2.060,0.329,0.309,3.009,2.834,1475,1536,50,80,1838,2762
VOMITING,1.764,2.280,0.574,0.582,3.978,3.571,1017,1021,51,88,1455,2089
PRURITUS,0.738,0.622,0.433,0.410,1.751,1.431,351,233,31,50,544,710
CONSTIPATION,2.559,2.651,0.318,0.316,3.480,3.864,681,554,13,22,611,1071
PAIN INCREASED,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
HYPERALGESIA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0

HeadToHead_RORR,REMI_IV_vs_FEN_IV,,REMI_IV_vs_MOR_IV
PT,ROR_REMI,ROR_FEN_IV,RORR,ROR_REMI,ROR_MOR_IV,RORR
PAIN,0.129,1.669,0.077,0.129,3.416,0.038
ALLODYNIA,2.785,13.736,0.203,2.785,7.506,0.371
NAUSEA,0.309,2.060,0.150,0.309,3.009,0.103
VOMITING,0.582,2.280,0.255,0.582,3.978,0.146
PRURITUS,0.410,0.622,0.658,0.410,1.751,0.234
CONSTIPATION,0.316,2.651,0.119,0.316,3.480,0.091

TransdermalConfoundingCheck_FEN,FEN_transdermal_ROR,FEN_IV_ROR
PAIN,3.382,1.669
ALLODYNIA,12.982,13.736
NAUSEA,1.523,2.060
CONSTIPATION,2.559,2.651
