## 27 SOC 全景（openFDA 聚合层 · **事件级近似**）
## 方法：各药取 count 端点 top-500 PT → 本地 soc_rules v4 映射到 27 SOC
## 警告：本表为事件级（PT 计数之和），同一报告含多个同 SOC 的 PT 会被重复计数；
##       报告级原生 SOC 以 Canada Vigilance 表（cv/cv_soc_27.csv）为准，本表仅作定性互证。
## 免 key 说明：count+search 在 limit=500 可免 key；limit=1000 报 API_KEY_MISSING。
N_total_reactions,20692687
Drug,Total_reports,Top500_PT_mapping_coverage%
REMIFENTANIL,5375,94.3
FENTANYL,121819,96.9
SUFENTANIL,6513,93.7
MORPHINE,56501,96.8
Global_top500_mapping_coverage%,98.8

SOC,REMIFENTANIL_reports,FENTANYL_reports,SUFENTANIL_reports,MORPHINE_reports,REMIFENTANIL_pct,FENTANYL_pct,SUFENTANIL_pct,MORPHINE_pct,REMI_ROR,RORR_vs_FEN,RORR_vs_MOR
Investigations,781,12093,718,13564,14.53,9.93,11.02,24.01,1.463,1.543,0.538
Immune system disorders,1108,3565,1828,4821,20.61,2.93,28.07,8.53,10.951,8.613,2.784
Psychiatric disorders,459,49438,794,22669,8.54,40.58,12.19,40.12,0.556,0.137,0.139
Nervous system disorders,1004,20923,1367,19606,18.68,17.18,20.99,34.7,1.096,1.108,0.432
Cardiac disorders,1261,8334,1215,5124,23.46,6.84,18.65,9.07,5.548,4.174,3.073
Vascular disorders,1054,9421,1459,8771,19.61,7.73,22.4,15.52,2.718,2.91,1.327
"Respiratory, thoracic and mediastinal disorders",988,15496,1266,18927,18.38,12.72,19.44,33.5,1.544,1.545,0.447
Renal and urinary disorders,366,7721,481,7133,6.81,6.34,7.39,12.62,1.323,1.08,0.506
Gastrointestinal disorders,325,23272,581,26359,6.05,19.1,8.92,46.65,0.271,0.273,0.074
Hepatobiliary disorders,200,1050,456,2175,3.72,0.86,7.0,3.85,2.894,4.445,0.965
Skin and subcutaneous tissue disorders,651,9965,1281,9999,12.11,8.18,19.67,17.7,0.831,1.547,0.641
Eye disorders,77,1625,104,1534,1.43,1.33,1.6,2.71,0.406,1.075,0.521
Ear and labyrinth disorders,0,662,16,828,0.0,0.54,0.25,1.47,,,
Musculoskeletal and connective tissue disorders,220,11715,315,19626,4.09,9.62,4.84,34.74,0.341,0.401,0.08
Blood and lymphatic system disorders,175,4749,323,4634,3.26,3.9,4.96,8.2,0.949,0.83,0.377
Endocrine disorders,102,852,65,1185,1.9,0.7,1.0,2.1,1.564,2.746,0.903
"Neoplasms benign, malignant and unspecified",87,1925,73,1693,1.62,1.58,1.12,3.0,0.68,1.025,0.533
Reproductive system and breast disorders,0,0,0,0,0.0,0.0,0.0,0.0,,,
"Pregnancy, puerperium and perinatal conditions",478,3986,475,2043,8.89,3.27,7.29,3.62,5.984,2.886,2.602
"Injury, poisoning and procedural complications",944,50380,1145,24523,17.56,41.36,17.58,43.4,0.839,0.302,0.278
Infections and infestations,105,4178,100,6514,1.95,3.43,1.54,11.53,0.38,0.561,0.153
Surgical and medical procedures,164,573,93,712,3.05,0.47,1.43,1.26,7.676,6.659,2.466
"Congenital, familial and genetic disorders",0,385,8,149,0.0,0.32,0.12,0.26,,,
Metabolism and nutrition disorders,205,5311,351,4056,3.81,4.36,5.39,7.18,1.312,0.87,0.513
Product issues,226,22014,384,7201,4.2,18.07,5.9,12.74,0.249,0.199,0.3
General disorders and administration site conditions,440,47128,869,34281,8.19,38.69,13.34,60.67,0.188,0.141,0.058
Social circumstances,0,1044,25,545,0.0,0.86,0.38,0.96,,,

Unmapped_top_REMI,NEUROMUSCULAR BLOCK PROLONGED:51,KOUNIS SYNDROME:43,HYPOVENTILATION:41,HYPOTHERMIA:34,RECURRENCE OF NEUROMUSCULAR BLOCKADE:31,TORSADE DE POINTES:24,PATENT DUCTUS ARTERIOSUS:23,BRADYPNOEA:21,CLONUS:21,MATERNAL EXPOSURE DURING DELIVERY:21
Unmapped_top_FEN,DRUG EFFECT DECREASED:1298,DRUG DIVERSION:1196,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION:700,DRUG INTOLERANCE:629,DRUG PRESCRIBING ERROR:586,PRESCRIPTION DRUG USED WITHOUT A PRESCRIPTION:526,DISABILITY:434,DRUG EFFECT INCOMPLETE:360,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES:330,INCORRECT DRUG ADMINISTRATION DURATION:311
Unmapped_top_MOR,DRUG INTOLERANCE:1186,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES:425,BURSITIS:389,SCIATICA:374,RHEUMATOID FACTOR POSITIVE:319,OBESITY:303,ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY POSITIVE:294,DISLOCATION OF VERTEBRA:270,LIP DRY:241,EXOSTOSIS:240
