PT,category,REMIFENTANIL_a,REMIFENTANIL_ROR,REMIFENTANIL_IC025,REMIFENTANIL_signal,FENTANYL_a,FENTANYL_ROR,FENTANYL_IC025,FENTANYL_signal,SUFENTANIL_a,SUFENTANIL_ROR,SUFENTANIL_IC025,SUFENTANIL_signal,MORPHINE_a,MORPHINE_ROR,MORPHINE_IC025,MORPHINE_signal,RORR_REMI_vs_FENTANYL,RORR_CI_FENTANYL,RORR_REMI_vs_SUFENTANIL,RORR_CI_SUFENTANIL,RORR_REMI_vs_MORPHINE,RORR_CI_MORPHINE
HYPERALGESIA,OIH-narrow,0,,,False,0,,,False,0,,,False,0,,,False,,,,,,
ALLODYNIA,OIH-narrow,1,3.105,-1.197,False,46,8.136,2.511,True,0,,,False,27,9.309,2.615,True,0.382,0.05-2.78,,,0.334,0.05-2.46
PAIN,OIH-wide,22,0.126,-3.552,False,5380,1.759,0.731,True,87,0.413,-1.552,False,4236,2.861,1.377,True,0.072,0.05-0.11,0.305,0.19-0.49,0.044,0.03-0.07
PAIN INCREASED,OIH-wide,0,,,False,0,,,False,0,,,False,0,,,False,,,,,,
DRUG INEFFECTIVE,OIH-wide,193,0.95,-0.278,False,3665,0.972,-0.087,False,312,1.279,0.175,True,3709,2.053,0.926,True,0.977,0.84-1.13,0.743,0.62-0.89,0.463,0.40-0.54
OPIOID WITHDRAWAL SYNDROME,OIH-wide,0,,,False,0,,,False,0,,,False,0,,,False,,,,,,
DRUG TOLERANCE,OIH-wide,0,,,False,217,8.563,2.81,True,0,,,False,74,5.585,2.12,True,,,,,,
POSTOPERATIVE PAIN,OIH-wide,0,,,False,0,,,False,0,,,False,0,,,False,,,,,,
CHRONIC PAIN,OIH-wide,0,,,False,0,,,False,0,,,False,0,,,False,,,,,,
NAUSEA,negative-control,50,0.274,-2.232,False,3617,1.1,0.083,True,100,0.454,-1.398,False,3783,2.407,1.145,True,0.249,0.19-0.33,0.605,0.43-0.85,0.114,0.09-0.15
VOMITING,negative-control,62,0.446,-1.504,False,2808,1.109,0.089,True,75,0.444,-1.479,False,3016,2.471,1.19,True,0.403,0.31-0.52,1.006,0.72-1.41,0.181,0.14-0.23
PRURITUS,negative-control,38,0.562,-1.285,False,652,0.516,-1.05,False,38,0.461,-1.567,False,1072,1.733,0.688,True,1.087,0.78-1.51,1.218,0.78-1.91,0.324,0.23-0.45
CONSTIPATION,negative-control,10,0.189,-3.288,False,1631,1.693,0.67,True,63,0.986,-0.379,False,1537,3.242,1.579,True,0.112,0.06-0.21,0.192,0.10-0.37,0.058,0.03-0.11
HYPERAESTHESIA,dictionary-proxy,10,4.309,1.207,True,292,7.112,2.586,True,21,7.463,2.271,True,248,12.02,3.333,True,0.606,0.32-1.14,0.577,0.27-1.23,0.358,0.19-0.68
HYPERPATHIA,dictionary-proxy,0,,,False,2,6.175,0.518,True,1,46.313,2.636,True,0,,,False,,,,,,
PROCEDURAL PAIN,dictionary-proxy,13,1.857,0.106,True,156,1.201,0.033,True,6,0.703,-1.662,False,157,2.425,1.04,True,1.547,0.88-2.73,2.642,1.00-6.96,0.766,0.43-1.35
CHRONIC PAIN SYNDROME,dictionary-proxy,0,,,False,0,,,False,0,,,False,0,,,False,,,,,,
DRUG WITHDRAWAL SYNDROME,dictionary-proxy,7,0.226,-3.207,False,2766,5.112,2.218,True,39,1.041,-0.396,False,795,2.824,1.37,True,0.044,0.02-0.09,0.217,0.10-0.49,0.08,0.04-0.17
