Year,N_year,HYPERAESTHESIA_year_total,REMIFENTANIL_reports,REMIFENTANIL_a,FENTANYL_reports,FENTANYL_a,SUFENTANIL_reports,SUFENTANIL_a,MORPHINE_reports,MORPHINE_a,REMIFENTANIL_ROR,FENTANYL_ROR,SUFENTANIL_ROR,MORPHINE_ROR,RORR_REMI_vs_FENTANYL,RORR_CI_FENTANYL,RORR_REMI_vs_MORPHINE,RORR_CI_MORPHINE
2015,1187780,646,282,0,10017,20,221,0,4187,12,,3.762,,5.363,,,,
2016,1186065,568,354,0,9500,30,353,3,4430,23,,6.925,17.979,11.31,,,,
2017,1251778,587,374,0,11725,28,232,2,4550,23,,5.308,18.595,11.23,,,,
2018,1428121,573,506,0,30290,32,633,1,5253,18,,2.731,3.947,8.812,,,,
2019,1434195,438,481,0,9212,16,652,0,5624,15,,5.873,,9.029,,,,
2020,1455117,477,483,0,11635,32,715,0,6377,28,,8.943,,14.225,,,,
2021,1566148,484,388,1,9073,42,616,0,5576,24,8.374,16.379,,14.661,0.511,0.07-3.74,0.571,0.08-4.25
2022,1523664,486,469,0,8784,26,562,1,4287,32,,9.774,5.596,25.161,,,,
2023,1368572,399,461,0,5342,23,735,0,4473,20,,15.673,,16.161,,,,
2024,1319106,337,448,8,2412,17,670,7,4212,21,72.856,29.199,42.172,20.845,2.495,1.06-5.90,3.495,1.52-8.05
