Year,N_year,PAIN_year_total,REMIFENTANIL_reports,REMIFENTANIL_a,FENTANYL_reports,FENTANYL_a,SUFENTANIL_reports,SUFENTANIL_a,MORPHINE_reports,MORPHINE_a,REMIFENTANIL_ROR,FENTANYL_ROR,SUFENTANIL_ROR,MORPHINE_ROR,RORR_REMI_vs_FENTANYL,RORR_CI_FENTANYL,RORR_REMI_vs_MORPHINE,RORR_CI_MORPHINE
2015,1187780,35775,282,2,10017,708,221,7,4187,285,0.23,2.478,1.053,2.363,0.093,0.02-0.37,0.097,0.02-0.39
2016,1186065,30907,354,1,9500,633,353,12,4430,303,0.106,2.703,1.315,2.761,0.039,0.01-0.28,0.038,0.01-0.27
2017,1251778,30871,374,1,11725,584,232,10,4550,348,0.106,2.094,1.782,3.301,0.051,0.01-0.36,0.032,0.00-0.23
2018,1428121,36155,506,0,30290,556,633,9,5253,362,,0.716,0.555,2.868,,,,
2019,1434195,36969,481,0,9212,491,652,2,5624,393,,2.143,0.116,2.859,,,,
2020,1455117,47421,483,2,11635,986,715,7,6377,639,0.123,2.786,0.293,3.337,0.044,0.01-0.18,0.037,0.01-0.15
2021,1566148,62060,388,1,9073,1386,616,3,5576,654,0.063,4.447,0.119,3.244,0.014,0.00-0.10,0.019,0.00-0.14
2022,1523664,72181,469,1,8784,1050,562,1,4287,381,0.043,2.756,0.036,1.967,0.016,0.00-0.11,0.022,0.00-0.16
2023,1368572,35142,461,2,5342,200,735,19,4473,342,0.165,1.479,1.007,3.162,0.112,0.03-0.45,0.052,0.01-0.21
2024,1319106,30362,448,3,2412,93,670,4,4212,386,0.286,1.704,0.255,4.325,0.168,0.05-0.53,0.066,0.02-0.21
