preferred_term,restriction,corpus_N,term_total,n_remifentanil,a_remifentanil,ROR_remifentanil,ROR_CI_remifentanil,n_fentanyl,a_fentanyl,ROR_fentanyl,ROR_CI_fentanyl,n_sufentanil,a_sufentanil,ROR_sufentanil,ROR_CI_sufentanil,n_morphine,a_morphine,ROR_morphine,ROR_CI_morphine,RORR_vs_fentanyl,RORR_CI_vs_fentanyl,RORR_vs_morphine,RORR_CI_vs_morphine,remifentanil_signal
HYPERAESTHESIA,"as published (role-agnostic, latest version)",20692687,8161,5375,10,4.729,2.54-8.80,121819,315,6.795,6.07-7.61,6513,22,8.611,5.66-13.09,56501,262,12.166,10.75-13.76,0.696,0.37-1.31,0.389,0.21-0.73,yes
HYPERAESTHESIA,restricted to reports with >=1 primary suspect drug record,20663426,8144,5314,10,4.786,2.57-8.90,121343,311,6.736,6.01-7.55,6461,22,8.686,5.71-13.21,56217,261,12.189,10.77-13.79,0.711,0.38-1.34,0.393,0.21-0.74,yes
HYPERAESTHESIA,restricted to never-revised reports,12745136,4059,3563,8,7.076,3.53-14.17,88109,194,7.224,6.25-8.35,4588,16,11.025,6.74-18.03,34140,135,12.856,10.83-15.27,0.979,0.48-1.99,0.55,0.27-1.13,yes
ALLODYNIA,"as published (role-agnostic, latest version)",20692687,1110,5375,1,3.471,0.49-24.67,121819,48,7.635,5.72-10.20,6513,0,,,56501,30,10.15,7.06-14.59,0.455,0.06-3.30,0.342,0.05-2.51,no
ALLODYNIA,restricted to reports with >=1 primary suspect drug record,20663426,1109,5314,1,3.509,0.49-24.94,121343,48,7.661,5.74-10.23,6461,0,,,56217,30,10.197,7.09-14.66,0.458,0.06-3.32,0.344,0.05-2.53,no
ALLODYNIA,restricted to never-revised reports,12745136,715,3563,0,,,88109,19,3.922,2.49-6.19,4588,0,,,34140,13,6.897,3.98-11.94,,,,,not estimable
PROCEDURAL PAIN,"as published (role-agnostic, latest version)",20692687,27300,5375,14,1.977,1.17-3.34,121819,162,1.008,0.86-1.18,6513,8,0.931,0.47-1.86,56501,167,2.252,1.93-2.62,1.962,1.14-3.39,0.878,0.51-1.52,yes
PROCEDURAL PAIN,restricted to reports with >=1 primary suspect drug record,20663426,27293,5314,14,1.998,1.18-3.38,121343,160,0.998,0.85-1.17,6461,8,0.937,0.47-1.88,56217,167,2.26,1.94-2.63,2.001,1.16-3.46,0.884,0.51-1.53,yes
PROCEDURAL PAIN,restricted to never-revised reports,12745136,13808,3563,9,2.336,1.21-4.49,88109,63,0.658,0.51-0.84,4588,6,1.207,0.54-2.69,34140,50,1.354,1.03-1.79,3.549,1.76-7.14,1.726,0.85-3.51,yes
DRUG WITHDRAWAL SYNDROME,"as published (role-agnostic, latest version)",20692687,87541,5375,7,0.307,0.15-0.64,121819,3274,6.714,6.48-6.96,6513,42,1.528,1.13-2.07,56501,865,3.686,3.45-3.94,0.046,0.02-0.10,0.083,0.04-0.18,no
