term,REMIFENTANIL,FENTANYL,SUFENTANIL,MORPHINE
ABDOMINAL DISCOMFORT,0,633,9,839
ABDOMINAL DISTENSION,8,439,16,500
ABDOMINAL PAIN,28,1476,37,1962
ABDOMINAL PAIN UPPER,9,781,0,1181
ABNORMAL BEHAVIOUR,0,248,10,145
ABORTION INDUCED,0,0,13,0
ACCIDENTAL EXPOSURE TO PRODUCT,7,278,7,0
ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD,0,138,0,0
ACCIDENTAL OVERDOSE,15,1247,8,435
ACIDOSIS,11,0,16,0
ACUTE CORONARY SYNDROME,9,0,0,0
ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS,22,0,98,0
ACUTE HEPATIC FAILURE,0,0,15,0
ACUTE KIDNEY INJURY,209,2046,162,1749
ACUTE MYOCARDIAL INFARCTION,13,187,15,133
ACUTE PULMONARY OEDEMA,8,0,21,0
ACUTE RESPIRATORY DISTRESS SYNDROME,13,215,82,150
ACUTE RESPIRATORY FAILURE,7,331,15,263
ADJUSTMENT DISORDER WITH DEPRESSED MOOD,0,0,0,252
ADRENAL INSUFFICIENCY,5,0,11,0
ADVERSE DRUG REACTION,0,367,0,350
ADVERSE EVENT,0,481,0,283
ADVERSE REACTION,0,0,26,0
AFFECT LABILITY,0,0,0,133
AGEUSIA,7,0,0,0
AGGRESSION,0,319,29,291
AGITATION,22,764,66,365
AGRANULOCYTOSIS,10,0,16,0
AIRWAY COMPLICATION OF ANAESTHESIA,19,0,8,0
AIRWAY PEAK PRESSURE INCREASED,17,0,8,0
ALANINE AMINOTRANSFERASE INCREASED,21,410,14,270
ALLERGY TEST NEGATIVE,6,0,27,0
ALLERGY TEST POSITIVE,0,0,7,0
ALOPECIA,6,357,10,799
ALTERED STATE OF CONSCIOUSNESS,26,303,51,140
AMAUROSIS,6,0,0,0
AMNESIA,0,427,0,526
AMYOTROPHY,0,0,7,0
ANAEMIA,36,1523,71,1088
ANAESTHETIC COMPLICATION,18,0,18,0
ANAESTHETIC COMPLICATION NEUROLOGICAL,122,300,102,0
ANAESTHETIC COMPLICATION PULMONARY,0,0,7,0
ANAPHYLACTIC REACTION,367,1049,338,487
ANAPHYLACTIC SHOCK,532,341,1114,149
ANAPHYLACTOID REACTION,27,0,16,0
ANAPHYLACTOID SHOCK,17,0,37,0
ANGER,0,182,0,0
ANGINA PECTORIS,0,0,0,217
ANGIOEDEMA,44,224,70,188
ANGIOPATHY,0,0,25,0
ANGLE CLOSURE GLAUCOMA,6,0,0,0
ANKYLOSING SPONDYLITIS,0,0,0,127
ANORECTAL DISORDER,12,0,0,0
ANOSMIA,6,0,0,0
ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY,0,0,0,140
ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY POSITIVE,0,0,0,294
ANTICHOLINERGIC SYNDROME,8,0,22,0
ANURIA,0,0,33,0
ANXIETY,8,1772,27,1621
APALLIC SYNDROME,0,0,13,0
APGAR SCORE LOW,5,0,0,0
APHASIA,16,171,19,228
APLASTIC ANAEMIA,0,0,0,140
APNOEA,42,227,19,131
APPLICATION SITE ERYTHEMA,0,516,0,0
APPLICATION SITE IRRITATION,0,272,0,0
APPLICATION SITE PAIN,0,315,0,0
APPLICATION SITE PRURITUS,0,517,0,0
APPLICATION SITE RASH,0,379,0,0
APPLICATION SITE REACTION,0,224,0,0
APPLICATION SITE VESICLES,0,161,0,0
ARRHYTHMIA,15,242,17,144
ARTERIOSPASM CORONARY,22,0,10,0
ARTHRALGIA,10,1435,30,2101
ARTHRITIS,0,375,0,712
ARTHROPATHY,0,211,0,573
ASCITES,0,254,8,198
ASPARTATE AMINOTRANSFERASE INCREASED,24,334,19,200
ASPHYXIA,0,0,8,305
ASPIRATION,0,0,10,163
ASTHENIA,21,1900,35,2015
ASTHMA,8,292,0,699
ATAXIA,7,0,0,0
ATELECTASIS,17,0,20,0
ATRIAL FIBRILLATION,48,576,15,373
ATRIAL FLUTTER,0,0,9,0
ATRIAL SEPTAL DEFECT,0,0,9,0
ATRIOVENTRICULAR BLOCK,13,0,13,0
ATRIOVENTRICULAR BLOCK COMPLETE,15,0,17,0
ATRIOVENTRICULAR BLOCK SECOND DEGREE,7,0,0,0
AUTOIMMUNE DISORDER,0,0,0,269
AUTONOMIC NERVOUS SYSTEM IMBALANCE,7,0,10,0
BACK DISORDER,0,0,0,151
BACK PAIN,8,1596,64,1661
BACTERAEMIA,0,0,10,0
BALANCE DISORDER,0,372,0,411
BASAL GANGLION DEGENERATION,7,0,0,0
BEDRIDDEN,0,152,0,0
BEZOAR,0,0,10,0
BLADDER DISORDER,0,0,7,0
BLINDNESS,7,0,0,0
BLISTER,11,299,19,463
BLOOD ALBUMIN DECREASED,7,0,7,0
BLOOD ALKALINE PHOSPHATASE INCREASED,7,149,17,163
BLOOD BILIRUBIN INCREASED,0,164,17,149
BLOOD CALCIUM DECREASED,5,0,0,0
BLOOD CHOLESTEROL INCREASED,0,0,0,371
BLOOD CREATINE PHOSPHOKINASE INCREASED,22,183,31,0
BLOOD CREATININE INCREASED,13,477,14,325
BLOOD GLUCOSE INCREASED,10,225,8,286
BLOOD LACTATE DEHYDROGENASE INCREASED,0,137,0,0
BLOOD LACTIC ACID INCREASED,0,0,12,0
BLOOD MAGNESIUM INCREASED,0,0,8,0
BLOOD PH DECREASED,5,0,0,0
BLOOD POTASSIUM DECREASED,0,154,0,183
BLOOD POTASSIUM INCREASED,0,266,0,0
BLOOD PRESSURE DECREASED,118,496,71,370
BLOOD PRESSURE DIASTOLIC INCREASED,7,0,0,0
BLOOD PRESSURE FLUCTUATION,0,158,0,244
BLOOD PRESSURE IMMEASURABLE,11,0,0,0
