preferred_term,term_total,a_remifentanil,n_remifentanil,a_fentanyl,n_fentanyl,a_sufentanil,n_sufentanil,a_morphine,n_morphine,n_remi_and_fentanyl,RORR_published,RORR_excl_fentanyl,n_remi_and_sufentanil,RORR_excl_sufentanil,n_remi_and_morphine,RORR_excl_morphine
HYPERAESTHESIA,8161,10,5375,315,121819,22,6513,262,56501,6,0.696,0.278,8,0.11,0,0.389
ALLODYNIA,1110,1,5375,48,121819,0,6513,30,56501,0,0.455,0.455,0,,0,0.342
PROCEDURAL PAIN,27300,14,5375,162,121819,8,6513,167,56501,7,1.962,0.981,2,1.82,0,0.878
DRUG WITHDRAWAL SYNDROME,87541,7,5375,3274,121819,42,6513,865,56501,1,0.046,0.039,0,0.201,4,0.036
PAIN,607176,23,5375,7349,121819,98,6513,4794,56501,9,0.066,0.04,0,0.281,8,0.03
DRUG INEFFECTIVE,1299278,208,5375,8062,121819,318,6513,4450,56501,53,0.568,0.423,6,0.762,7,0.455
NAUSEA,778546,51,5375,4928,121819,109,6513,4527,56501,15,0.227,0.16,4,0.519,11,0.086
VOMITING,462663,64,5375,3483,121819,80,6513,3432,56501,22,0.409,0.268,5,0.893,15,0.142
PRURITUS,372941,41,5375,1117,121819,38,6513,1291,56501,17,0.833,0.488,0,1.31,6,0.28
CONSTIPATION,213536,11,5375,2011,121819,63,6513,1786,56501,9,0.122,0.022,0,0.21,0,0.062
DRUG TOLERANCE,5013,0,5375,278,121819,0,6513,79,56501,0,,,0,,0,
HYPERPATHIA,43,0,5375,2,121819,1,6513,0,56501,0,,,0,,0,
