preferred_term,comparator,RORR,published_lo,published_hi,corrected_lo,corrected_hi,cov_log,se_published,se_corrected,b1,b0
HYPERAESTHESIA,FENTANYL,0.696,0.37,1.308,0.375,1.293,-0.00185566,0.3219,0.316083,6,1569
HYPERAESTHESIA,MORPHINE,0.3887,0.206,0.732,0.206,0.732,0.00012573,0.322909,0.323298,0,323
HYPERAESTHESIA,SUFENTANIL,0.5492,0.26,1.161,0.323,0.933,-0.03639717,0.382153,0.270641,8,475
PAIN,FENTANYL,0.0665,0.044,0.1,0.044,0.1,-5.475e-05,0.209316,0.209055,9,1566
PAIN,MORPHINE,0.0461,0.031,0.069,0.031,0.069,-7.256e-05,0.209515,0.209168,8,315
PAIN,SUFENTANIL,0.2813,0.178,0.444,0.178,0.444,-1.238e-05,0.23244,0.232387,0,483
PROCEDURAL PAIN,FENTANYL,1.9615,1.135,3.389,1.16,3.316,-0.00307185,0.279052,0.267817,7,1568
PROCEDURAL PAIN,MORPHINE,0.8781,0.509,1.516,0.508,1.517,3.585e-05,0.278737,0.278866,0,323
PROCEDURAL PAIN,SUFENTANIL,2.124,0.89,5.068,0.967,4.665,-0.01784863,0.443669,0.401429,2,481
DRUG INEFFECTIVE,FENTANYL,0.5678,0.493,0.653,0.494,0.653,-3.359e-05,0.071664,0.071194,53,1522
DRUG INEFFECTIVE,MORPHINE,0.4705,0.408,0.542,0.408,0.542,-7.94e-06,0.072435,0.072325,7,316
DRUG INEFFECTIVE,SUFENTANIL,0.7842,0.656,0.938,0.657,0.935,-0.00010484,0.091153,0.089996,6,477
ALLODYNIA,FENTANYL,0.4546,0.063,3.3,0.063,3.306,0.0009401,1.011371,1.0123,0,1575
ALLODYNIA,MORPHINE,0.342,0.047,2.513,0.046,2.517,0.00092574,1.017529,1.018438,0,323
NAUSEA,FENTANYL,0.2271,0.172,0.3,0.172,0.299,-6.124e-05,0.141456,0.141022,15,1560
NAUSEA,MORPHINE,0.1096,0.083,0.145,0.083,0.145,-4.771e-05,0.141557,0.14122,11,312
NAUSEA,SUFENTANIL,0.5628,0.403,0.786,0.406,0.78,-0.00073242,0.170672,0.166325,4,479
VOMITING,FENTANYL,0.4087,0.319,0.524,0.319,0.523,-9.971e-05,0.126938,0.12615,22,1553
VOMITING,MORPHINE,0.1854,0.145,0.238,0.145,0.238,-6.768e-05,0.126996,0.126462,15,308
VOMITING,SUFENTANIL,0.969,0.696,1.349,0.704,1.333,-0.00098865,0.16874,0.162775,5,478
PRURITUS,FENTANYL,0.8329,0.609,1.139,0.612,1.134,-0.00037205,0.159646,0.157298,17,1558
PRURITUS,MORPHINE,0.3284,0.24,0.449,0.241,0.448,-0.0001121,0.159298,0.158593,6,317
PRURITUS,SUFENTANIL,1.3098,0.841,2.04,0.841,2.039,-1.126e-05,0.22595,0.2259,0,483
CONSTIPATION,FENTANYL,0.1217,0.067,0.22,0.067,0.22,-0.00040838,0.302672,0.30132,9,1566
CONSTIPATION,MORPHINE,0.0625,0.034,0.113,0.034,0.113,3.67e-06,0.302792,0.302804,0,323
CONSTIPATION,SUFENTANIL,0.2099,0.111,0.399,0.111,0.399,-9.23e-06,0.327312,0.327284,0,483
DRUG WITHDRAWAL SYNDROME,FENTANYL,0.0457,0.022,0.096,0.022,0.096,-3.584e-05,0.378656,0.378562,1,1574
DRUG WITHDRAWAL SYNDROME,MORPHINE,0.0833,0.04,0.175,0.04,0.175,-0.00065668,0.37979,0.378057,4,319
DRUG WITHDRAWAL SYNDROME,SUFENTANIL,0.2008,0.09,0.447,0.09,0.447,-2.43e-06,0.408694,0.408688,0,483
