preferred_term,comparator,a_remifentanil,n_remifentanil,a_comparator,n_comparator,direct_OR,direct_CI,published_RORR,direct_minus_published_ratio
HYPERALGESIA,FENTANYL,0,5375,0,121819,,,,
HYPERALGESIA,SUFENTANIL,0,5375,0,6513,,,,
HYPERALGESIA,MORPHINE,0,5375,0,56501,,,,
ALLODYNIA,FENTANYL,1,5375,48,121819,0.4721,0.07-3.42,0.455,1.0375
ALLODYNIA,SUFENTANIL,1,5375,0,6513,,,,
ALLODYNIA,MORPHINE,1,5375,30,56501,0.3503,0.05-2.57,0.342,1.0242
PAIN,FENTANYL,23,5375,7349,121819,0.0669,0.04-0.10,0.066,1.0142
PAIN,SUFENTANIL,23,5375,98,6513,0.2813,0.18-0.44,0.281,1.0011
PAIN,MORPHINE,23,5375,4794,56501,0.0464,0.03-0.07,0.046,1.0076
PAIN INCREASED,FENTANYL,0,5375,0,121819,,,,
PAIN INCREASED,SUFENTANIL,0,5375,0,6513,,,,
PAIN INCREASED,MORPHINE,0,5375,0,56501,,,,
DRUG INEFFECTIVE,FENTANYL,208,5375,8062,121819,0.568,0.49-0.65,0.568,1.0
DRUG INEFFECTIVE,SUFENTANIL,208,5375,318,6513,0.7842,0.66-0.94,0.784,1.0003
DRUG INEFFECTIVE,MORPHINE,208,5375,4450,56501,0.4709,0.41-0.54,0.47,1.0018
OPIOID WITHDRAWAL SYNDROME,FENTANYL,0,5375,0,121819,,,,
OPIOID WITHDRAWAL SYNDROME,SUFENTANIL,0,5375,0,6513,,,,
OPIOID WITHDRAWAL SYNDROME,MORPHINE,0,5375,0,56501,,,,
DRUG TOLERANCE,FENTANYL,0,5375,278,121819,,,,
DRUG TOLERANCE,SUFENTANIL,0,5375,0,6513,,,,
DRUG TOLERANCE,MORPHINE,0,5375,79,56501,,,,
POSTOPERATIVE PAIN,FENTANYL,0,5375,0,121819,,,,
POSTOPERATIVE PAIN,SUFENTANIL,0,5375,0,6513,,,,
POSTOPERATIVE PAIN,MORPHINE,0,5375,0,56501,,,,
CHRONIC PAIN,FENTANYL,0,5375,0,121819,,,,
CHRONIC PAIN,SUFENTANIL,0,5375,0,6513,,,,
CHRONIC PAIN,MORPHINE,0,5375,0,56501,,,,
NAUSEA,FENTANYL,51,5375,4928,121819,0.2272,0.17-0.30,0.227,1.001
NAUSEA,SUFENTANIL,51,5375,109,6513,0.5628,0.40-0.79,0.563,0.9997
NAUSEA,MORPHINE,51,5375,4527,56501,0.11,0.08-0.15,0.11,0.9998
VOMITING,FENTANYL,64,5375,3483,121819,0.4094,0.32-0.53,0.409,1.001
VOMITING,SUFENTANIL,64,5375,80,6513,0.969,0.70-1.35,0.969,1.0
VOMITING,MORPHINE,64,5375,3432,56501,0.1863,0.15-0.24,0.185,1.0072
PRURITUS,FENTANYL,41,5375,1117,121819,0.8306,0.61-1.14,0.833,0.9971
PRURITUS,SUFENTANIL,41,5375,38,6513,1.3097,0.84-2.04,1.31,0.9998
PRURITUS,MORPHINE,41,5375,1291,56501,0.3287,0.24-0.45,0.328,1.0022
CONSTIPATION,FENTANYL,11,5375,2011,121819,0.1222,0.07-0.22,0.122,1.0014
CONSTIPATION,SUFENTANIL,11,5375,63,6513,0.21,0.11-0.40,0.21,0.9998
CONSTIPATION,MORPHINE,11,5375,1786,56501,0.0628,0.03-0.11,0.062,1.0133
HYPERAESTHESIA,FENTANYL,10,5375,315,121819,0.719,0.38-1.35,0.696,1.033
HYPERAESTHESIA,SUFENTANIL,10,5375,22,6513,0.5499,0.26-1.16,0.549,1.0017
HYPERAESTHESIA,MORPHINE,10,5375,262,56501,0.4001,0.21-0.75,0.389,1.0285
HYPERPATHIA,FENTANYL,0,5375,2,121819,,,,
HYPERPATHIA,SUFENTANIL,0,5375,1,6513,,,,
HYPERPATHIA,MORPHINE,0,5375,0,56501,,,,
PROCEDURAL PAIN,FENTANYL,14,5375,162,121819,1.9611,1.14-3.39,1.962,0.9996
PROCEDURAL PAIN,SUFENTANIL,14,5375,8,6513,2.1234,0.89-5.07,2.124,0.9997
PROCEDURAL PAIN,MORPHINE,14,5375,167,56501,0.8809,0.51-1.52,0.878,1.0033
CHRONIC PAIN SYNDROME,FENTANYL,0,5375,0,121819,,,,
CHRONIC PAIN SYNDROME,SUFENTANIL,0,5375,0,6513,,,,
CHRONIC PAIN SYNDROME,MORPHINE,0,5375,0,56501,,,,
DRUG WITHDRAWAL SYNDROME,FENTANYL,7,5375,3274,121819,0.0472,0.02-0.10,0.046,1.0264
DRUG WITHDRAWAL SYNDROME,SUFENTANIL,7,5375,42,6513,0.2009,0.09-0.45,0.201,0.9996
DRUG WITHDRAWAL SYNDROME,MORPHINE,7,5375,865,56501,0.0839,0.04-0.18,0.083,1.0105
