preferred_term,comparator,a_remifentanil,a_comparator,co_reported_with_term,RORR_published,RORR_one_arm_removed,RORR_both_arms_removed
HYPERAESTHESIA,FENTANYL,10,315,6,0.695975,0.278185,0.283804
HYPERAESTHESIA,SUFENTANIL,10,22,8,0.549165,0.109725,0.172595
HYPERAESTHESIA,MORPHINE,10,262,0,0.388685,0.388685,0.388685
ALLODYNIA,FENTANYL,1,48,0,0.45462,0.45462,0.45462
ALLODYNIA,SUFENTANIL,1,0,0,,,
ALLODYNIA,MORPHINE,1,30,0,0.341958,0.341958,0.341958
PROCEDURAL PAIN,FENTANYL,14,162,7,1.961525,0.980511,1.025056
PROCEDURAL PAIN,SUFENTANIL,14,8,2,2.124022,1.820457,2.427454
PROCEDURAL PAIN,MORPHINE,14,167,0,0.878147,0.878147,0.878147
DRUG WITHDRAWAL SYNDROME,FENTANYL,7,3274,1,0.045705,0.039175,0.039188
DRUG WITHDRAWAL SYNDROME,SUFENTANIL,7,42,0,0.200843,0.200843,0.200843
DRUG WITHDRAWAL SYNDROME,MORPHINE,7,865,4,0.083255,0.035679,0.035846
PAIN,FENTANYL,23,7349,9,0.066492,0.040473,0.040523
PAIN,SUFENTANIL,23,98,0,0.281288,0.281288,0.281288
PAIN,MORPHINE,23,4794,8,0.046094,0.030061,0.030111
DRUG INEFFECTIVE,FENTANYL,208,8062,53,0.567761,0.423074,0.425891
DRUG INEFFECTIVE,SUFENTANIL,208,318,6,0.784197,0.761573,0.776222
DRUG INEFFECTIVE,MORPHINE,208,4450,7,0.470462,0.454627,0.455346
NAUSEA,FENTANYL,51,4928,15,0.227067,0.160279,0.160772
NAUSEA,SUFENTANIL,51,109,4,0.562792,0.518649,0.53841
NAUSEA,MORPHINE,51,4527,11,0.109603,0.085962,0.086173
VOMITING,FENTANYL,64,3483,22,0.408676,0.268181,0.269899
VOMITING,SUFENTANIL,64,80,5,0.969028,0.893313,0.952877
VOMITING,MORPHINE,64,3432,15,0.185417,0.141956,0.142583
PRURITUS,FENTANYL,41,1117,17,0.832934,0.487549,0.495106
PRURITUS,SUFENTANIL,41,38,0,1.30983,1.30983,1.30983
PRURITUS,MORPHINE,41,1291,6,0.328422,0.280355,0.281669
CONSTIPATION,FENTANYL,11,2011,9,0.12171,0.022128,0.022229
CONSTIPATION,SUFENTANIL,11,63,0,0.209913,0.209913,0.209913
CONSTIPATION,MORPHINE,11,1786,0,0.062453,0.062453,0.062453
DRUG TOLERANCE,FENTANYL,0,278,0,,,
DRUG TOLERANCE,SUFENTANIL,0,0,0,,,
DRUG TOLERANCE,MORPHINE,0,79,0,,,
HYPERPATHIA,FENTANYL,0,2,0,,,
HYPERPATHIA,SUFENTANIL,0,1,0,,,
HYPERPATHIA,MORPHINE,0,0,0,,,
