ADRECS_ID,ADR_ID,ADR_TERM,ADR_SYNONYMS,MEDDRA_CODE
04.02.02,BADD_A05144,Hyperacusia,"Hyperacusis | Hyperacuses | Loudness Recruitment | Loudness Recruitments | Hyperacusia | Hyperacusias | Loudness Perception Disturbances | Disturbance, Loudness Perception | Disturbances, Loudness Perception | Loudness Perception Disturbance | Perception Disturbance, Loudness | Perception Disturbances, Loudness | Recruitment, Loudness | Phonophobia | Phonophobias | Auditory Hyperesthesia | Auditory Hyperesthesias | Hyperesthesia, Auditory | Hyperesthesias, Auditory",10052526
04.02.02.001,BADD_A02104,Hyperacusis,"Auditory hyperacuity | Hearing abnormally acute | Hyperacusis | Painful sensitiveness to sound | Sound sensitivity increased | Hyperacuses | Loudness Recruitment | Loudness Recruitments | Hyperacusia | Hyperacusias | Loudness Perception Disturbances | Disturbance, Loudness Perception | Disturbances, Loudness Perception | Loudness Perception Disturbance | Perception Disturbance, Loudness | Perception Disturbances, Loudness | Recruitment, Loudness | Phonophobia | Phonophobias | Auditory Hyperesthesia | Auditory Hyperesthesias | Hyperesthesia, Auditory | Hyperesthesias, Auditory",10020559
04.03.01.008,BADD_A05361,Phonophobia,"Phonophobia | Hyperacusis | Hyperacuses | Loudness Recruitment | Loudness Recruitments | Hyperacusia | Hyperacusias | Loudness Perception Disturbances | Disturbance, Loudness Perception | Disturbances, Loudness Perception | Loudness Perception Disturbance | Perception Disturbance, Loudness | Perception Disturbances, Loudness | Recruitment, Loudness | Phonophobias | Auditory Hyperesthesia | Auditory Hyperesthesias | Hyperesthesia, Auditory | Hyperesthesias, Auditory",10054956
04.04.02.002,BADD_A05933,Inner ear disorder,"Disorder labyrinthine | Hyperactive labyrinth, bilateral | Hyperactive labyrinth, unilateral | Hypoactive labyrinth, bilateral | Hypoactive labyrinth, unilateral | Labyrinthine disorder | Labyrinthine disorder NOS | Labyrinthine disorders | Labyrinthine dysfunction | Labyrinthine dysfunction, unspecified | Loss of labyrinthine reactivity, bilateral | Loss of labyrinthine reactivity, unilateral | Other disorders of labyrinth | Other forms and combinations of labyrinthine dysfunction | Unspecified vertiginous syndromes and labyrinthine disorders | Labyrinthine dysfunction aggravated | Labyrinthine dysfunction aggrav. | Inner ear disorder NOS | Inner ear disorder",10061524
04.05.04.003,BADD_A05104,Tympanic membrane hyperaemia,Tympanic membrane hyperaemia | Eardrum hyperaemia | Tympanic membrane hyperemia | Tympanic membrane erythema | Eardrum hyperemia | Tympanic membrane injection,10052154
05.01.01.003,BADD_A02105,Hyperadrenocorticism,"Adrenal cortex activity increased | Adrenal cortex hyperfunction | Adrenal hypercorticism | Hyperadrenalcorticalism | Hyperadrenocorticalism | Hyperadrenocorticism | Hypercorticism adrenal | Hypercorticoidism | Hypercortisolism | Hypercortisonism | Other corticoadrenal overactivity | Hypercortisolaemia | Hypercortisolemia | Adrenocortical Hyperfunction | Hyperfunction, Adrenocortical | Hypercorticism | Adrenal Gland Hyperfunction | Hyperfunction, Adrenal Gland | Hyperadrenalism",10020564
05.01.01.005,BADD_A07296,Hyperadrenalism,"Hyperadrenalism | Adrenocortical Hyperfunction | Hyperfunction, Adrenocortical | Hypercorticism | Hyperadrenocorticism | Adrenal Gland Hyperfunction | Hyperfunction, Adrenal Gland",10020562
05.01.01.006,BADD_A07297,Hyperaldosteronism,"Aldosteronism | Aldosteronism NOS | Hyperaldosteronism | Hyperaldosteronemia | Hyperaldosteronaemia | Conn Syndrome | Syndrome, Conn | Primary Hyperaldosteronism | Hyperaldosteronism, Primary | Conn's Syndrome | Conns Syndrome | Syndrome, Conn's",10020571
05.01.01.007,BADD_A07599,Primary hyperaldosteronism,"Conn's syndrome | Primary hyperaldosteronism | Hyperaldosteronism | Aldosteronism | Conn Syndrome | Syndrome, Conn | Primary Hyperaldosteronism | Hyperaldosteronism, Primary | Conn's Syndrome | Conns Syndrome | Syndrome, Conn's",10036692
05.01.01.009,BADD_A10786,Pseudoaldosteronism,"Pseudo aldosteronism | Pseudoaldosteronism | Pseudohyperaldosteronism | Liddle Syndrome | Syndrome, Liddle",10037113
05.05.04.006,BADD_A06324,Hyperandrogenism,Hyperandrogenism | Hyperandrogenemia | Hyperandrogenaemia | Testosterone excess | Excessive secretion of testosterone,10065597
06.01.01.007,BADD_A02177,Hypoaesthesia eye,Analgesia of cornea | Corneal anesthesia and hypoesthesia | Corneal sensitivity decreased | Hypoaesthesia cornea | Hypoaesthesia eye | Hypoesthesia eye | Hypoesthesia cornea | Eye numbness,10020939
06.01.01.010,BADD_A09887,Eye paraesthesia,Eye paraesthesia | Eye paresthesia,10076569
06.04.01.004,BADD_A05053,Conjunctival hyperaemia,Bulbar conjunctiva hyperemia | Congestion conjunctival | Conjunctival congestion | Conjunctival injection | Conjunctival redness | Hyperemia of conjunctiva | Conjunctival hyperaemia | Conjunctival hyperemia | Bulbar conjunctiva hyperaemia | Hyperaemia of conjunctiva | Subconjunctival redness | Redness of eyelid conjunctiva,10051625
