preferred_term,meddra_version,reaction_rows,distinct_reports
ADMINISTRATION SITE HYPOAESTHESIA,v.27.1,1,1
ADMINISTRATION SITE PARAESTHESIA,v.27.1,3,3
AESTHESIONEUROBLASTOMA,v.27.1,2,2
AIRWAY COMPLICATION OF ANAESTHESIA,v.27.1,16,16
AKINAESTHESIA,v.27.1,3,3
ALLODYNIA,v.27.1,29,29
ANAESTHESIA,v.27.1,12,12
ANAESTHESIA ORAL,v.27.1,23,23
ANAESTHETIC COMPLICATION,v.27.1,72,72
ANAESTHETIC COMPLICATION NEONATAL,v.27.1,1,1
ANAESTHETIC COMPLICATION NEUROLOGICAL,v.27.1,3,3
ANAESTHETIC COMPLICATION PULMONARY,v.27.1,1,1
ANAESTHETIC COMPLICATION VASCULAR,v.27.1,1,1
ANAL HYPOAESTHESIA,v.27.1,3,3
ANAL PARAESTHESIA,v.27.1,3,3
ANALGESIC DRUG LEVEL,v.27.1,2,2
ANALGESIC DRUG LEVEL ABOVE THERAPEUTIC,v.27.1,18,18
ANALGESIC DRUG LEVEL BELOW THERAPEUTIC,v.27.1,3,3
ANALGESIC DRUG LEVEL DECREASED,v.27.1,5,5
ANALGESIC DRUG LEVEL INCREASED,v.27.1,41,41
ANALGESIC THERAPY,v.27.1,21,21
APPLICATION SITE ANAESTHESIA,v.27.1,1,1
APPLICATION SITE HYPERAESTHESIA,v.27.1,1,1
APPLICATION SITE HYPOAESTHESIA,v.27.1,10,10
APPLICATION SITE PARAESTHESIA,v.27.1,10,10
ATTENTION DEFICIT HYPERACTIVITY DISORDER,v.27.1,293,293
CONJUNCTIVAL HYPERAEMIA,v.27.1,125,125
DELAYED RECOVERY FROM ANAESTHESIA,v.27.1,17,17
DENTAL DYSAESTHESIA,v.27.1,1,1
DENTAL PARAESTHESIA,v.27.1,1,1
DYSAESTHESIA,v.27.1,154,154
DYSAESTHESIA PHARYNX,v.27.1,11,11
EPIDURAL ANAESTHESIA,v.27.1,1,1
EPIDURAL ANALGESIA,v.27.1,1,1
EYE PARAESTHESIA,v.27.1,31,31
GASTROINTESTINAL MUCOSA HYPERAEMIA,v.27.1,43,43
GENERAL ANAESTHESIA,v.27.1,8,8
GENITAL ANAESTHESIA,v.27.1,3,3
GENITAL DYSAESTHESIA,v.27.1,1,1
GENITAL HYPERAESTHESIA,v.27.1,1,1
GENITAL HYPOAESTHESIA,v.27.1,43,43
GENITAL PARAESTHESIA,v.27.1,7,7
HEMIANAESTHESIA,v.27.1,18,18
HEMIHYPOAESTHESIA,v.27.1,46,46
HEMIPARAESTHESIA,v.27.1,26,26
HYPERACTIVE PHARYNGEAL REFLEX,v.27.1,7,7
HYPERACUSIS,v.27.1,261,261
HYPERADRENALISM,v.27.1,6,6
HYPERADRENOCORTICISM,v.27.1,15,15
HYPERAEMIA,v.27.1,96,96
HYPERAESTHESIA,v.27.1,523,523
HYPERAESTHESIA EYE,v.27.1,1,1
HYPERAESTHESIA TEETH,v.27.1,159,159
HYPERALBUMINAEMIA,v.27.1,1,1
HYPERALDOSTERONISM,v.27.1,7,7
HYPERAMMONAEMIA,v.27.1,126,126
HYPERAMMONAEMIC CRISIS,v.27.1,2,2
HYPERAMMONAEMIC ENCEPHALOPATHY,v.27.1,34,34
HYPERAMYLASAEMIA,v.27.1,1,1
HYPERAROUSAL,v.27.1,2,2
HYPOAESTHESIA,v.27.1,13463,13463
HYPOAESTHESIA EYE,v.27.1,39,39
HYPOAESTHESIA ORAL,v.27.1,1362,1362
HYPOAESTHESIA TEETH,v.27.1,7,7
