PT,Group,REMIFENTANIL_reports,FENTANYL_reports,SUFENTANIL_reports,MORPHINE_reports,REMI_ROR,RORR_REMI_vs_FEN,RORR_REMI_vs_MOR,REMI_RORR_FEN_phys,REMI_RORR_MOR_phys
HYPERALGESIA,OIH_narrow,0,0,0,0,,,,,
ALLODYNIA,OIH_narrow,0,3,0,0,,,,,
PAIN,OIH_broad,2,353,8,859,0.42,0.235,0.146,,
PAIN INCREASED,OIH_broad,0,0,0,0,,,,,
DRUG INEFFECTIVE,OIH_broad,25,905,9,1119,1.344,1.277,1.703,5.921,10.604
OPIOID WITHDRAWAL SYNDROME,OIH_broad,0,0,0,0,,,,,
DRUG TOLERANCE,OIH_broad,0,25,0,30,,,,,
POSTOPERATIVE PAIN,OIH_broad,0,0,0,0,,,,,
CHRONIC PAIN,OIH_broad,0,0,0,0,,,,,
NAUSEA,negctrl,0,260,2,824,,,,,
VOMITING,negctrl,3,124,1,508,0.806,1.066,0.392,,
PRURITUS,negctrl,0,141,1,1187,,,,,
CONSTIPATION,negctrl,0,58,3,397,,,,,
HYPERAESTHESIA,dictionary_proxy,0,18,0,30,,,,,
HYPERPATHIA,dictionary_proxy,0,0,0,0,,,,,
PROCEDURAL PAIN,dictionary_proxy,0,14,0,42,,,,,
CHRONIC PAIN SYNDROME,dictionary_proxy,0,0,0,0,,,,,
DRUG WITHDRAWAL SYNDROME,dictionary_proxy,0,139,1,195,,,,,
